2011-07-07,12719.490234
2011-07-06,12626.019531
2011-07-05,12569.870117
2011-07-01,12582.769531
2011-06-30,12414.339844
2011-06-29,12261.419922
2011-06-28,12188.69043
2011-06-27,12043.55957
2011-06-24,11934.580078
2011-06-23,12050.00
2011-06-22,12109.669922
2011-06-21,12190.009766
2011-06-20,12080.379883
2011-06-17,12004.360352
2011-06-16,11961.519531
2011-06-15,11897.269531
2011-06-14,12076.110352
2011-06-13,11952.969727
2011-06-10,11951.910156
2011-06-09,12124.360352
2011-06-08,12048.94043
2011-06-07,12070.80957
2011-06-06,12089.959961
2011-06-03,12151.259766
2011-06-02,12248.549805
2011-06-01,12290.139648
2011-05-31,12569.790039
2011-05-27,12441.580078
2011-05-26,12402.759766
2011-05-25,12394.660156
2011-05-24,12356.209961
2011-05-23,12381.259766
2011-05-20,12512.040039
2011-05-19,12605.320312
2011-05-18,12560.179688
2011-05-17,12479.580078
2011-05-16,12548.370117
2011-05-13,12595.75
2011-05-12,12695.919922
2011-05-11,12630.030273
2011-05-10,12760.360352
2011-05-09,12684.679688
2011-05-06,12638.740234
2011-05-05,12584.169922
2011-05-04,12723.580078
2011-05-03,12807.509766
2011-05-02,12807.360352
2011-04-29,12810.540039
2011-04-28,12763.30957
2011-04-27,12690.959961
2011-04-26,12595.370117
2011-04-25,12479.879883
2011-04-21,12505.990234
2011-04-20,12453.540039
2011-04-19,12266.75
2011-04-18,12201.589844
2011-04-15,12341.830078
2011-04-14,12285.150391
2011-04-13,12270.990234
2011-04-12,12263.580078
2011-04-11,12381.110352
2011-04-08,12380.049805
2011-04-07,12409.490234
2011-04-06,12426.75
2011-04-05,12393.900391
2011-04-04,12400.030273
2011-04-01,12376.719727
2011-03-31,12319.730469
2011-03-30,12350.610352
2011-03-29,12279.009766
2011-03-28,12197.879883
2011-03-25,12220.589844
2011-03-24,12170.55957
2011-03-23,12086.019531
2011-03-22,12018.629883
2011-03-21,12036.530273
2011-03-18,11858.519531
2011-03-17,11774.589844
2011-03-16,11613.299805
2011-03-15,11855.419922
2011-03-14,11993.160156
2011-03-11,12044.400391
2011-03-10,11984.610352
2011-03-09,12213.089844
2011-03-08,12214.379883
2011-03-07,12090.030273
2011-03-04,12169.879883
2011-03-03,12258.200195
2011-03-02,12066.799805
2011-03-01,12058.019531
2011-02-28,12226.339844
2011-02-25,12130.450195
2011-02-24,12068.50
2011-02-23,12105.780273
2011-02-22,12212.790039
2011-02-18,12391.25
2011-02-17,12318.139648
2011-02-16,12288.169922
2011-02-15,12226.639648
2011-02-14,12268.19043
2011-02-11,12273.259766
2011-02-10,12229.290039
2011-02-09,12239.889648
2011-02-08,12233.150391
2011-02-07,12161.629883
2011-02-04,12092.150391
2011-02-03,12062.259766
2011-02-02,12041.969727
2011-02-01,12040.160156
2011-01-31,11891.929688
2011-01-28,11823.700195
2011-01-27,11989.830078
2011-01-26,11985.44043
2011-01-25,11977.19043
2011-01-24,11980.519531
2011-01-21,11871.839844
2011-01-20,11822.799805
2011-01-19,11825.290039
2011-01-18,11837.929688
2011-01-14,11787.379883
2011-01-13,11731.900391
2011-01-12,11755.44043
2011-01-11,11671.879883
2011-01-10,11637.450195
2011-01-07,11674.759766
2011-01-06,11697.30957
2011-01-05,11722.889648
2011-01-04,11691.179688
2011-01-03,11670.75
2010-12-31,11577.509766
2010-12-30,11569.709961
2010-12-29,11585.379883
2010-12-28,11575.540039
2010-12-27,11555.030273
2010-12-23,11573.490234
2010-12-22,11559.490234
2010-12-21,11533.160156
2010-12-20,11478.129883
2010-12-17,11491.910156
2010-12-16,11499.25
2010-12-15,11457.469727
2010-12-14,11476.540039
2010-12-13,11428.55957
2010-12-10,11410.320312
2010-12-09,11370.05957
2010-12-08,11372.480469
2010-12-07,11359.160156
2010-12-06,11362.19043
2010-12-03,11382.089844
2010-12-02,11362.410156
2010-12-01,11255.780273
2010-11-30,11006.019531
2010-11-29,11052.490234
2010-11-26,11091.870117
2010-11-24,11187.280273
2010-11-23,11036.370117
2010-11-22,11178.580078
2010-11-19,11203.549805
2010-11-18,11181.230469
2010-11-17,11007.879883
2010-11-16,11023.50
2010-11-15,11201.969727
2010-11-12,11192.580078
2010-11-11,11283.099609
2010-11-10,11357.040039
2010-11-09,11346.75
2010-11-08,11406.839844
2010-11-05,11444.080078
2010-11-04,11434.839844
2010-11-03,11215.129883
2010-11-02,11188.719727
2010-11-01,11124.620117
2010-10-29,11118.490234
2010-10-28,11113.950195
2010-10-27,11126.280273
2010-10-26,11169.459961
2010-10-25,11164.049805
2010-10-22,11132.55957
2010-10-21,11146.570312
2010-10-20,11107.969727
2010-10-19,10978.620117
2010-10-18,11143.69043
2010-10-15,11062.780273
2010-10-14,11094.570312
2010-10-13,11096.080078
2010-10-12,11020.400391
2010-10-11,11010.339844
2010-10-08,11006.480469
2010-10-07,10948.580078
2010-10-06,10967.650391
2010-10-05,10944.719727
2010-10-04,10751.269531
2010-10-01,10829.679688
2010-09-30,10788.049805
2010-09-29,10835.280273
2010-09-28,10858.139648
2010-09-27,10812.040039
2010-09-24,10860.259766
2010-09-23,10662.419922
2010-09-22,10739.30957
2010-09-21,10761.030273
2010-09-20,10753.620117
2010-09-17,10607.849609
2010-09-16,10594.830078
2010-09-15,10572.730469
2010-09-14,10526.490234
2010-09-13,10544.129883
2010-09-10,10462.769531
2010-09-09,10415.240234
2010-09-08,10387.009766
2010-09-07,10340.69043
2010-09-03,10447.929688
2010-09-02,10320.099609
2010-09-01,10269.469727
2010-08-31,10014.719727
2010-08-30,10009.730469
2010-08-27,10150.650391
2010-08-26,9985.80957
2010-08-25,10060.05957
2010-08-24,10040.450195
2010-08-23,10174.410156
2010-08-20,10213.620117
2010-08-19,10271.209961
2010-08-18,10415.540039
2010-08-17,10405.849609
2010-08-16,10302.009766
2010-08-13,10303.150391
2010-08-12,10319.950195
2010-08-11,10378.830078
2010-08-10,10644.25
2010-08-09,10698.75
2010-08-06,10653.55957
2010-08-05,10674.980469
2010-08-04,10680.429688
2010-08-03,10636.379883
2010-08-02,10674.379883
2010-07-30,10465.94043
2010-07-29,10467.160156
2010-07-28,10497.879883
2010-07-27,10537.69043
2010-07-26,10525.429688
2010-07-23,10424.620117
2010-07-22,10322.299805
2010-07-21,10120.530273
2010-07-20,10229.959961
2010-07-19,10154.429688
2010-07-16,10097.900391
2010-07-15,10359.30957
2010-07-14,10366.719727
2010-07-13,10363.019531
2010-07-12,10216.269531
2010-07-09,10198.030273
2010-07-08,10138.990234
2010-07-07,10018.280273
2010-07-06,9743.620117
2010-07-02,9686.480469
2010-07-01,9732.530273
2010-06-30,9774.019531
2010-06-29,9870.299805
2010-06-28,10138.519531
2010-06-25,10143.80957
2010-06-24,10152.799805
2010-06-23,10298.44043
2010-06-22,10293.519531
2010-06-21,10442.410156
2010-06-18,10450.639648
2010-06-17,10434.169922
2010-06-16,10409.459961
2010-06-15,10404.769531
2010-06-14,10190.889648
2010-06-11,10211.070312
2010-06-10,10172.530273
2010-06-09,9899.25
2010-06-08,9939.980469
2010-06-07,9816.490234
2010-06-04,9931.969727
2010-06-03,10255.280273
2010-06-02,10249.540039
2010-06-01,10024.019531
2010-05-28,10136.629883
2010-05-27,10258.990234
2010-05-26,9974.450195
2010-05-25,10043.75
2010-05-24,10066.570312
2010-05-21,10193.389648
2010-05-20,10068.009766
2010-05-19,10444.370117
2010-05-18,10510.950195
2010-05-17,10625.830078
2010-05-14,10620.160156
2010-05-13,10782.950195
2010-05-12,10896.910156
2010-05-11,10748.259766
2010-05-10,10785.139648
2010-05-07,10380.429688
2010-05-06,10520.320312
2010-05-05,10866.830078
2010-05-04,10926.769531
2010-05-03,11151.830078
2010-04-30,11008.610352
2010-04-29,11167.320312
2010-04-28,11045.269531
2010-04-27,10991.990234
2010-04-26,11205.030273
2010-04-23,11204.280273
2010-04-22,11134.290039
2010-04-21,11124.919922
2010-04-20,11117.05957
2010-04-19,11092.049805
2010-04-16,11018.660156
2010-04-15,11144.570312
2010-04-14,11123.110352
2010-04-13,11019.419922
2010-04-12,11005.969727
2010-04-09,10997.349609
2010-04-08,10927.070312
2010-04-07,10897.519531
2010-04-06,10969.990234
2010-04-05,10973.549805
2010-04-01,10927.070312
2010-03-31,10856.629883
2010-03-30,10907.419922
2010-03-29,10895.860352
2010-03-26,10850.360352
2010-03-25,10841.209961
2010-03-24,10836.150391
2010-03-23,10888.830078
2010-03-22,10785.889648
2010-03-19,10741.980469
2010-03-18,10779.169922
2010-03-17,10733.669922
2010-03-16,10685.980469
2010-03-15,10642.150391
2010-03-12,10624.69043
2010-03-11,10611.839844
2010-03-10,10567.330078
2010-03-09,10564.379883
2010-03-08,10552.519531
2010-03-05,10566.200195
2010-03-04,10444.139648
2010-03-03,10396.759766
2010-03-02,10405.980469
2010-03-01,10403.790039
2010-02-26,10325.259766
2010-02-25,10321.030273
2010-02-24,10374.160156
2010-02-23,10282.410156
2010-02-22,10383.379883
2010-02-19,10402.349609
2010-02-18,10392.900391
2010-02-17,10309.240234
2010-02-16,10268.80957
2010-02-12,10099.139648
2010-02-11,10144.19043
2010-02-10,10038.379883
2010-02-09,10058.639648
2010-02-08,9908.389648
2010-02-05,10012.230469
2010-02-04,10002.179688
2010-02-03,10270.549805
2010-02-02,10296.849609
2010-02-01,10185.530273
2010-01-29,10067.330078
2010-01-28,10120.459961
2010-01-27,10236.160156
2010-01-26,10194.290039
2010-01-25,10196.860352
2010-01-22,10172.980469
2010-01-21,10389.879883
2010-01-20,10603.150391
2010-01-19,10725.429688
2010-01-15,10609.650391
2010-01-14,10710.549805
2010-01-13,10680.769531
2010-01-12,10627.259766
2010-01-11,10663.990234
2010-01-08,10618.19043
2010-01-07,10606.860352
2010-01-06,10573.679688
2010-01-05,10572.019531
2010-01-04,10583.959961
